Start,Energy
2018-12-11,1266.693
2018-12-12,1178.272
2018-12-13,1171.058
2018-12-14,1268.322
2018-12-15,329.051
2018-12-16,215.711
2018-12-17,1263.201
2018-12-18,1366.74
2018-12-19,1365.285
2018-12-20,1352.785
2018-12-21,358.422
2018-12-22,122.771
2018-12-23,194.444
2018-12-24,45.817
2018-12-25,107.50099999999999
2018-12-26,609.456
2018-12-27,727.106
2018-12-28,577.392
2018-12-29,101.886
2018-12-30,66.305
2018-12-31,163.928
2019-01-01,58.945
2019-01-02,1468.389
2019-01-03,1223.059
2019-01-04,680.984
2019-01-05,156.204
2019-01-06,195.402
2019-01-07,1497.536
2019-01-08,1385.497
2019-01-09,1226.184
2019-01-10,1275.694
2019-01-11,1343.071
2019-01-12,190.887
2019-01-13,310.889
2019-01-14,1543.806
2019-01-15,1513.65
2019-01-16,1365.431
2019-01-17,1335.798
2019-01-18,1011.027
2019-01-19,320.888
2019-01-20,131.723
2019-01-21,243.469
2019-01-22,1437.735
2019-01-23,1418.987850956
2019-01-24,1172.622841995
2019-01-25,1413.507
2019-01-26,339.584
2019-01-27,159.83
2019-01-28,1449.078
2019-01-29,1440.016
2019-01-30,1226.25
2019-01-31,1306.222
2019-02-01,986.924
2019-02-02,263.567
2019-02-03,119.356
2019-02-04,1423.999
2019-02-05,1561.729
2019-02-06,1236.546
2019-02-07,1464.167
2019-02-08,1605.097
2019-02-09,237.711
2019-02-10,172.463
2019-02-11,1336.942
2019-02-12,1524.695
2019-02-13,1300.006
2019-02-14,1265.037
2019-02-15,816.167
2019-02-16,268.73900000000003
2019-02-17,92.547
2019-02-18,262.396
2019-02-19,1498.933
2019-02-20,1701.979
2019-02-21,1256.041
2019-02-22,1534.306
2019-02-23,271.109
2019-02-24,244.53
2019-02-25,1688.588
2019-02-26,1371.334097073
2019-02-27,1294.654721924
2019-02-28,1272.479345281
2019-03-01,740.995
2019-03-02,210.018
2019-03-03,174.114
2019-03-04,1593.891
2019-03-05,1355.402
2019-03-06,1193.595
2019-03-07,1315.613
2019-03-08,1468.568
2019-03-09,99.197
2019-03-10,197.261
2019-03-11,1538.389
2019-03-12,1300.264
2019-03-13,1330.872
2019-03-14,1552.946
2019-03-15,694.793528375
2019-03-16,249.767
2019-03-17,224.18
2019-03-18,1531.793
2019-03-19,1239.581
2019-03-20,1331.1299999999999
2019-03-21,1225.021537336
2019-03-22,1491.299
2019-03-23,215.731
2019-03-24,210.085
2019-03-25,1551.242
2019-03-26,1470.5430000000001
2019-03-27,1490.497
2019-03-28,1323.786
2019-03-29,892.89
2019-03-30,177.08100000000002
2019-03-31,126.167
2019-04-01,1462.919
2019-04-02,1437.602
2019-04-03,1308.71
2019-04-04,1240.538
2019-04-05,1306.168
